レースコード,レース日,レース場コード,レース回,艇1_登録番号,艇1_選手名,艇1_前1節_開始日,艇1_前1節_終了日,艇1_前1節_場コード,艇1_前1節_場名,艇1_前1節_グレード,艇1_前1節_着順列,艇1_前2節_開始日,艇1_前2節_終了日,艇1_前2節_場コード,艇1_前2節_場名,艇1_前2節_グレード,艇1_前2節_着順列,艇1_前3節_開始日,艇1_前3節_終了日,艇1_前3節_場コード,艇1_前3節_場名,艇1_前3節_グレード,艇1_前3節_着順列,艇1_前4節_開始日,艇1_前4節_終了日,艇1_前4節_場コード,艇1_前4節_場名,艇1_前4節_グレード,艇1_前4節_着順列,艇1_前5節_開始日,艇1_前5節_終了日,艇1_前5節_場コード,艇1_前5節_場名,艇1_前5節_グレード,艇1_前5節_着順列,艇2_登録番号,艇2_選手名,艇2_前1節_開始日,艇2_前1節_終了日,艇2_前1節_場コード,艇2_前1節_場名,艇2_前1節_グレード,艇2_前1節_着順列,艇2_前2節_開始日,艇2_前2節_終了日,艇2_前2節_場コード,艇2_前2節_場名,艇2_前2節_グレード,艇2_前2節_着順列,艇2_前3節_開始日,艇2_前3節_終了日,艇2_前3節_場コード,艇2_前3節_場名,艇2_前3節_グレード,艇2_前3節_着順列,艇2_前4節_開始日,艇2_前4節_終了日,艇2_前4節_場コード,艇2_前4節_場名,艇2_前4節_グレード,艇2_前4節_着順列,艇2_前5節_開始日,艇2_前5節_終了日,艇2_前5節_場コード,艇2_前5節_場名,艇2_前5節_グレード,艇2_前5節_着順列,艇3_登録番号,艇3_選手名,艇3_前1節_開始日,艇3_前1節_終了日,艇3_前1節_場コード,艇3_前1節_場名,艇3_前1節_グレード,艇3_前1節_着順列,艇3_前2節_開始日,艇3_前2節_終了日,艇3_前2節_場コード,艇3_前2節_場名,艇3_前2節_グレード,艇3_前2節_着順列,艇3_前3節_開始日,艇3_前3節_終了日,艇3_前3節_場コード,艇3_前3節_場名,艇3_前3節_グレード,艇3_前3節_着順列,艇3_前4節_開始日,艇3_前4節_終了日,艇3_前4節_場コード,艇3_前4節_場名,艇3_前4節_グレード,艇3_前4節_着順列,艇3_前5節_開始日,艇3_前5節_終了日,艇3_前5節_場コード,艇3_前5節_場名,艇3_前5節_グレード,艇3_前5節_着順列,艇4_登録番号,艇4_選手名,艇4_前1節_開始日,艇4_前1節_終了日,艇4_前1節_場コード,艇4_前1節_場名,艇4_前1節_グレード,艇4_前1節_着順列,艇4_前2節_開始日,艇4_前2節_終了日,艇4_前2節_場コード,艇4_前2節_場名,艇4_前2節_グレード,艇4_前2節_着順列,艇4_前3節_開始日,艇4_前3節_終了日,艇4_前3節_場コード,艇4_前3節_場名,艇4_前3節_グレード,艇4_前3節_着順列,艇4_前4節_開始日,艇4_前4節_終了日,艇4_前4節_場コード,艇4_前4節_場名,艇4_前4節_グレード,艇4_前4節_着順列,艇4_前5節_開始日,艇4_前5節_終了日,艇4_前5節_場コード,艇4_前5節_場名,艇4_前5節_グレード,艇4_前5節_着順列,艇5_登録番号,艇5_選手名,艇5_前1節_開始日,艇5_前1節_終了日,艇5_前1節_場コード,艇5_前1節_場名,艇5_前1節_グレード,艇5_前1節_着順列,艇5_前2節_開始日,艇5_前2節_終了日,艇5_前2節_場コード,艇5_前2節_場名,艇5_前2節_グレード,艇5_前2節_着順列,艇5_前3節_開始日,艇5_前3節_終了日,艇5_前3節_場コード,艇5_前3節_場名,艇5_前3節_グレード,艇5_前3節_着順列,艇5_前4節_開始日,艇5_前4節_終了日,艇5_前4節_場コード,艇5_前4節_場名,艇5_前4節_グレード,艇5_前4節_着順列,艇5_前5節_開始日,艇5_前5節_終了日,艇5_前5節_場コード,艇5_前5節_場名,艇5_前5節_グレード,艇5_前5節_着順列,艇6_登録番号,艇6_選手名,艇6_前1節_開始日,艇6_前1節_終了日,艇6_前1節_場コード,艇6_前1節_場名,艇6_前1節_グレード,艇6_前1節_着順列,艇6_前2節_開始日,艇6_前2節_終了日,艇6_前2節_場コード,艇6_前2節_場名,艇6_前2節_グレード,艇6_前2節_着順列,艇6_前3節_開始日,艇6_前3節_終了日,艇6_前3節_場コード,艇6_前3節_場名,艇6_前3節_グレード,艇6_前3節_着順列,艇6_前4節_開始日,艇6_前4節_終了日,艇6_前4節_場コード,艇6_前4節_場名,艇6_前4節_グレード,艇6_前4節_着順列,艇6_前5節_開始日,艇6_前5節_終了日,艇6_前5節_場コード,艇6_前5節_場名,艇6_前5節_グレード,艇6_前5節_着順列
202509070111,2025-09-07,01,11R,3721,守田 俊介,2025-06-07,2025-06-12,01,桐生,ＧⅠ,１２６　４　２１４６５,2025-04-22,2025-04-27,01,桐生,ＧⅠ,５　４２６１５　４６３,2024-10-06,2024-10-11,01,桐生,ＧⅠ,６６１　２２２　５　１３,2020-10-29,2020-11-03,01,桐生,ＧⅠ,３２２　４　３４３５３,2020-07-06,2020-07-10,01,桐生,一般,２６１２１２６１[１],4233,亀山 雅幸,2025-08-02,2025-08-07,01,桐生,一般,４２２１６　６６５５５３,2025-05-10,2025-05-13,01,桐生,一般,１３３　１１[２],2025-02-22,2025-02-27,01,桐生,一般,２３２　６１３５６６１６,2024-12-31,2025-01-05,01,桐生,一般,５　４３１１２４６　２４,2024-11-16,2024-11-20,01,桐生,一般,３４１　１３２２[６],5170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3960,菊地 孝平,2025-05-25,2025-05-30,01,桐生,一般,３２３１２　１４１１[２],2023-09-13,2023-09-18,01,桐生,ＧⅠ,６１５　３　２５２１４,2022-09-01,2022-09-06,01,桐生,ＧⅠ,２２４　２　１４５　１２,2021-09-11,2021-09-16,01,桐生,ＧⅠ,３２５　５　２３１１[２],2021-02-17,2021-02-22,01,桐生,一般,１１４　３５２１１２[２],4587,木田 峰由季,2025-02-22,2025-02-27,01,桐生,一般,３　６５３１５　３５２,2024-04-14,2024-04-18,01,桐生,一般,６４３　２　３２２２,2023-06-23,2023-06-28,01,桐生,一般,５　６５６　５２１３３４,2023-03-04,2023-03-07,01,桐生,一般,４　３３２２６１,2022-12-07,2022-12-11,01,桐生,一般,エ６５　２２６　２３,5120,山本 稔太朗,2025-02-13,2025-02-19,01,桐生,一般,６　１３３６６　５　３５,2024-06-06,2024-06-11,01,桐生,一般,４　３３４６６妨,2023-04-04,2023-04-09,01,桐生,一般,６２６　１４２　２　４４,2021-04-18,2021-04-23,01,桐生,一般,３３１　５３４　１５２６,2020-11-08,2020-11-13,01,桐生,一般,６　６２５　５２６　６１
202509070112,2025-09-07,01,12R,3532,柴田 光,2025-08-11,2025-08-16,01,桐生,一般,１　１２２２３１１　[１],2025-06-26,2025-06-30,01,桐生,一般,１４３３,2025-05-01,2025-05-06,01,桐生,一般,２　３５５３５６,2025-03-21,2025-03-27,01,桐生,一般,１４３　　　２２２４５４１２,2025-01-17,2025-01-22,01,桐生,ＧⅢ,１４２２３　２５１３３１,4466,南 佑典,2025-05-10,2025-05-13,01,桐生,一般,６　４２３５３,2024-11-16,2024-11-20,01,桐生,一般,４　４６３２３４２５,2024-03-17,2024-03-23,01,桐生,一般,３２６　３２４４２　６２,2022-11-09,2022-11-13,01,桐生,一般,４５１４２　１６１５,2022-05-19,2022-05-22,01,桐生,一般,１５４４４　２,4139,丹下 健,2025-05-25,2025-05-30,01,桐生,一般,２　２５４５４　３５３,2023-02-23,2023-02-28,01,桐生,一般,５　６３３　６１２４,2022-12-27,2022-12-31,01,桐生,一般,４３２　２４３５６３,2022-05-19,2022-05-22,01,桐生,一般,５　６３２　１１,2022-03-03,2022-03-07,01,桐生,一般,　　２　１５６６２,4439,近藤 友宝,2025-02-13,2025-02-19,01,桐生,一般,４　５３６　エ,2024-12-14,2024-12-18,01,桐生,一般,６３６　５　３５４,2024-09-07,2024-09-12,01,桐生,一般,転６６　６５５　５　６,2022-12-15,2022-12-20,01,桐生,一般,５６６,2022-07-22,2022-07-26,01,桐生,一般,２　３６３５１　３３,4361,柳生 泰二,2022-08-23,2022-08-28,01,桐生,一般,５３３　１３４３２３２２,2014-04-19,2014-04-24,01,桐生,一般,３４３　５４１６４　１４,2013-07-19,2013-07-22,01,桐生,一般,２４５６１６３,2011-12-08,2011-12-12,01,桐生,一般,３４１３２５６１[４],2010-12-01,2010-12-05,01,桐生,一般,５４２４３３１５２,4116,川田 正人,2019-09-24,2019-09-29,01,桐生,一般,３３１　２４３１４４３３,2018-07-14,2018-07-19,01,桐生,一般,４　３４５５５　６５２２,2017-09-02,2017-09-05,01,桐生,一般,６　６４１５５,2015-05-12,2015-05-15,01,桐生,一般,２　２２２６１４,2012-05-26,2012-05-30,01,桐生,一般,１４６２３　３４１４
202509070301,2025-09-07,03,01R,5317,長尾 萌加,2025-02-04,2025-02-09,03,江戸川,一般,４　３６４　５６Ｆ６６,,,,,,,,,,,,,,,,,,,,,,,,,4473,藤堂 里香,2024-10-14,2024-10-19,03,江戸川,ＧⅢ,１　４３３１,2023-05-30,2023-06-06,03,江戸川,ＧⅢ,５２４３１２６　２６１２,2021-05-08,2021-05-13,03,江戸川,一般,２２４　５２２５１６２６,2017-07-18,2017-07-23,03,江戸川,一般,５　２２２　２５５Ｆ５２,2013-06-19,2013-06-25,03,江戸川,一般,５６６２１　１５５６２,4927,関野 文,2023-09-24,2023-09-29,03,江戸川,一般,１３２　２１３１２１[４],2020-11-05,2020-11-10,03,江戸川,一般,５２１５２　３６１３１５,2019-11-17,2019-11-22,03,江戸川,一般,５　　　４　２６１　４２,2019-05-30,2019-06-04,03,江戸川,一般,１１１４３　２６４　１１,2018-09-18,2018-09-23,03,江戸川,ＧⅢ,４　２２１４１　２　[４],4400,加藤 奈月,2022-01-23,2022-01-28,03,江戸川,一般,４　６２４　１１３５３４,2018-06-26,2018-07-02,03,江戸川,一般,６　３６,2017-10-09,2017-10-14,03,江戸川,ＧⅢ,６　３５４４４　６３５,2017-07-18,2017-07-23,03,江戸川,一般,６５５　２５４　４６４４,2013-06-19,2013-06-25,03,江戸川,一般,６６５　４１１５３　５５,5335,森 陽多,2025-02-04,2025-02-09,03,江戸川,一般,２　６４４　１５３６５,2024-08-27,2024-09-01,03,江戸川,一般,６　６　６５５６５　６６,,,,,,,,,,,,,,,,,,,5373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202509070302,2025-09-07,03,02R,5153,佐藤 ほのか,2025-06-05,2025-06-10,03,江戸川,一般,４２４　２１４　１エ２５,2025-03-24,2025-03-29,03,江戸川,一般,２　４１６　１２４３[４],2025-02-04,2025-02-09,03,江戸川,一般,３　３３１２３　エ４６５,2024-10-14,2024-10-19,03,江戸川,ＧⅢ,１５２５２,2024-08-27,2024-09-01,03,江戸川,一般,１　４　５６転３３　５５,4286,平田 さやか,2025-06-05,2025-06-10,03,江戸川,一般,１　２　１　２　２３[４],2025-03-24,2025-03-29,03,江戸川,一般,１　２３４　１１６１[５],2025-02-04,2025-02-09,03,江戸川,一般,２　１２５　３１５４[５],2024-08-27,2024-09-01,03,江戸川,一般,４　３　２３３６４４４１,2024-07-02,2024-07-07,03,江戸川,一般,２　２２３　２３３５３５,5156,坂野 さくら,2023-07-27,2023-08-01,03,江戸川,一般,６６４　２６６５５　４６,2022-09-17,2022-09-22,03,江戸川,一般,５　５６　　４５２　６４,2021-06-22,2021-06-26,03,江戸川,一般,６　６６転　６６４５,,,,,,,,,,,,,3611,岩崎 芳美,2021-06-06,2021-06-11,03,江戸川,ＧⅢ,４４１　４１２１２　[３],2020-01-15,2020-01-20,03,江戸川,ＧⅢ,３５１　１１４４２　１４,2018-09-18,2018-09-23,03,江戸川,ＧⅢ,２　２１エ　転１,2018-06-26,2018-07-02,03,江戸川,一般,Ｆ　５６,2017-10-09,2017-10-14,03,江戸川,ＧⅢ,１１１　２５１　２　[３],4283,石井 裕美,2025-06-05,2025-06-10,03,江戸川,一般,２　３　３４１　４１[２],2025-03-24,2025-03-29,03,江戸川,一般,３６２　１６３　１４４３,2025-02-04,2025-02-09,03,江戸川,一般,１２３３２　２３４５４２,2023-05-30,2023-06-06,03,江戸川,ＧⅢ,１５５６４　３２６１３３,2022-09-05,2022-09-10,03,江戸川,ＧⅢ,１　２４１２３　５　２６,5192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202509070303,2025-09-07,03,03R,4947,間庭 菜摘,2022-05-11,2022-05-16,03,江戸川,一般,４４５　５４１４１４１,2021-06-06,2021-06-11,03,江戸川,ＧⅢ,３６３　１６５５４４Ｆ,,,,,,,,,,,,,,,,,,,4940,白石 有美,2025-03-24,2025-03-29,03,江戸川,一般,２４,2025-02-04,2025-02-09,03,江戸川,一般,５　１６４　４６５４２,2024-10-14,2024-10-19,03,江戸川,ＧⅢ,,2024-08-27,2024-09-01,03,江戸川,一般,２３６４５　２３１６２６,2023-07-27,2023-08-01,03,江戸川,一般,３　５２１３４　１４４６,4519,清水 沙樹,2025-06-05,2025-06-10,03,江戸川,一般,　　２３１　１２４５４１,2025-03-24,2025-03-29,03,江戸川,一般,２　１３３２１　１２[１],2025-02-04,2025-02-09,03,江戸川,一般,４２５　２６３　２４１５,2024-12-15,2024-12-20,03,江戸川,一般,２　４６３　２２５　２６,2024-10-14,2024-10-19,03,江戸川,ＧⅢ,１３１　２６,4924,中北 涼,2022-01-23,2022-01-28,03,江戸川,一般,５２６　４欠,2021-06-06,2021-06-11,03,江戸川,ＧⅢ,５　１６２５１　３６６４,2020-01-15,2020-01-20,03,江戸川,ＧⅢ,３３１　４６３　２４５６,2019-05-30,2019-06-04,03,江戸川,一般,４　Ｆ３６２６　２４３６,,,,,,,5113,黒明 花夢,2024-10-14,2024-10-19,03,江戸川,ＧⅢ,５　５６３,2023-09-24,2023-09-29,03,江戸川,一般,５　５４１　３３５　３１,2021-06-06,2021-06-11,03,江戸川,ＧⅢ,６　５６６６６　４６１６,,,,,,,,,,,,,4546,浜田 亜理沙,2023-10-07,2023-10-09,03,江戸川,一般,２１３　４３,2023-09-24,2023-09-29,03,江戸川,一般,５　２１２２４　１２[３],2023-02-10,2023-02-15,03,江戸川,ＧⅠ,転　２３１　４　６６５,2022-09-05,2022-09-10,03,江戸川,ＧⅢ,３３　　１転沈３１３２１,2022-05-11,2022-05-16,03,江戸川,一般,２２１　２４１３４　１１
202509070304,2025-09-07,03,04R,4804,高田 ひかる,2019-05-30,2019-06-04,03,江戸川,一般,３１２　４２２１６　３２,2015-11-01,2015-11-06,03,江戸川,一般,４６５　４５３４５３５,,,,,,,,,,,,,,,,,,,4897,深見 亜由美,2022-09-05,2022-09-10,03,江戸川,ＧⅢ,４１２　５４５４３６４１,2020-06-17,2020-06-22,03,江戸川,ＧⅢ,１６２　５６２２４　２３,,,,,,,,,,,,,,,,,,,4791,黒澤 めぐみ,2025-06-05,2025-06-10,03,江戸川,一般,１　　　１　２　３転,2025-02-04,2025-02-09,03,江戸川,一般,４　２２１　２２３１[３],2024-10-14,2024-10-19,03,江戸川,ＧⅢ,４　２１２,2023-11-30,2023-12-05,03,江戸川,一般,２５６　３５３　４２２３,2023-09-24,2023-09-29,03,江戸川,一般,４４４　１２４　３１２落,4781,西舘 果里,2025-06-05,2025-06-10,03,江戸川,一般,４３１　３　４　２２[６],2025-02-04,2025-02-09,03,江戸川,一般,５３４２２　４１１　３４,2024-10-14,2024-10-19,03,江戸川,ＧⅢ,１４５　４６,2024-08-27,2024-09-01,03,江戸川,一般,４　２　３４３１４５４２,2024-05-04,2024-05-08,03,江戸川,一般,６５６　５　３６５,4190,長嶋 万記,2023-10-07,2023-10-09,03,江戸川,一般,４４３　１,2023-05-30,2023-06-06,03,江戸川,ＧⅢ,１２３　２２１２１　[１],2022-09-05,2022-09-10,03,江戸川,ＧⅢ,６２　　４１１１１　[３],2022-05-11,2022-05-16,03,江戸川,一般,３　３１２６３　４　１１,2022-01-23,2022-01-28,03,江戸川,一般,２　転１２　３４１３２３,5340,樋江井 舞,2024-12-15,2024-12-20,03,江戸川,一般,６　５６６　４５６　４,,,,,,,,,,,,,,,,,,,,,,,,
202509070305,2025-09-07,03,05R,4900,中田 夕貴,2025-03-24,2025-03-29,03,江戸川,一般,１４４　４１３　４５４２,2025-02-04,2025-02-09,03,江戸川,一般,２３３　３４１２３６１２,2024-10-14,2024-10-19,03,江戸川,ＧⅢ,１　欠欠,2024-07-02,2024-07-07,03,江戸川,一般,　　　　　　　　　　１２,2022-06-24,2022-06-29,03,江戸川,一般,　　不欠,4240,今井 裕梨,2025-02-04,2025-02-09,03,江戸川,一般,１１２１１　１１１１[１],2024-10-14,2024-10-19,03,江戸川,ＧⅢ,１６３１４,2023-02-10,2023-02-15,03,江戸川,ＧⅠ,４５３　６　２５５　６３,2021-06-06,2021-06-11,03,江戸川,ＧⅢ,４　２４３　３３５２５２,2021-05-08,2021-05-13,03,江戸川,一般,３　３１４　６６５３[６],4694,高田 綾,2025-02-04,2025-02-09,03,江戸川,一般,Ｆ　５５５２４　２４３３,2024-10-14,2024-10-19,03,江戸川,ＧⅢ,３　１２５,2022-10-30,2022-11-03,03,江戸川,一般,６　５６５　４６５,2022-09-05,2022-09-10,03,江戸川,ＧⅢ,１　１　５４４　６５６５,2021-06-06,2021-06-11,03,江戸川,ＧⅢ,３５６　４２５４２６３,5373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4773,中川 りな,2024-10-14,2024-10-19,03,江戸川,ＧⅢ,４　２２３１,2024-07-02,2024-07-07,03,江戸川,一般,５２６　５５３　１４４４,2022-09-05,2022-09-10,03,江戸川,ＧⅢ,５６２　５３１６２２３５,2021-05-08,2021-05-13,03,江戸川,一般,２１３　２１１２４２[１],2018-09-18,2018-09-23,03,江戸川,ＧⅢ,１　４６１　１２転　３１,5324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202509070306,2025-09-07,03,06R,4893,渡邉 真奈美,2025-02-04,2025-02-09,03,江戸川,一般,３２１　６５２　Ｆ３５４,2024-08-27,2024-09-01,03,江戸川,一般,３　１４１４３　１６１５,2023-11-30,2023-12-05,03,江戸川,一般,３　１１１６欠,2023-09-24,2023-09-29,03,江戸川,一般,４　３４４　４１４３４,2023-05-30,2023-06-06,03,江戸川,ＧⅢ,２５１２１　３５１６６４,5156,坂野 さくら,2023-07-27,2023-08-01,03,江戸川,一般,６６４　２６６５５　４６,2022-09-17,2022-09-22,03,江戸川,一般,５　５６　　４５２　６４,2021-06-22,2021-06-26,03,江戸川,一般,６　６６転　６６４５,,,,,,,,,,,,,5335,森 陽多,2025-02-04,2025-02-09,03,江戸川,一般,２　６４４　１５３６５,2024-08-27,2024-09-01,03,江戸川,一般,６　６　６５５６５　６６,,,,,,,,,,,,,,,,,,,4845,前田 紗希,2024-08-27,2024-09-01,03,江戸川,一般,１　１　２１１４５１[２],2024-07-02,2024-07-07,03,江戸川,一般,５６２　２２１５２　６２,2023-02-10,2023-02-15,03,江戸川,ＧⅠ,４　６６６　２　転４２,2022-09-05,2022-09-10,03,江戸川,ＧⅢ,２　４　１１１　３　[４],2022-05-11,2022-05-16,03,江戸川,一般,１３１２２　２４３　[１],4854,大橋 由珠,2023-07-27,2023-08-01,03,江戸川,一般,４２５３３　５３２１３５,2023-04-30,2023-05-05,03,江戸川,一般,１　４５　　２２５　６５,2022-10-30,2022-11-03,03,江戸川,一般,３　６６４　５５４,2022-05-11,2022-05-16,03,江戸川,一般,３　６３４１１１３　[６],2021-06-06,2021-06-11,03,江戸川,ＧⅢ,１３５５４　３転３４２１,4590,渡邉 優美,2020-11-05,2020-11-10,03,江戸川,一般,２４３１３　２２５　５４,2019-02-27,2019-03-03,03,江戸川,一般,３３５　５２３　６１,2019-02-11,2019-02-16,03,江戸川,一般,１　６１５４３　６　２１,2018-09-18,2018-09-23,03,江戸川,ＧⅢ,１　３４２１３　４　２１,2017-07-18,2017-07-23,03,江戸川,一般,５２２　１３３　６　５５
202509070307,2025-09-07,03,07R,4478,櫻本 あゆみ,2023-02-10,2023-02-15,03,江戸川,ＧⅠ,６　５　４５６　１６６,2020-08-27,2020-09-01,03,江戸川,一般,１　３欠,2016-02-23,2016-02-28,03,江戸川,ＧⅢ,１　２６５　３５２１１,2012-12-16,2012-12-21,03,江戸川,一般,６　１６４　６１２　３１,,,,,,,4927,関野 文,2023-09-24,2023-09-29,03,江戸川,一般,１３２　２１３１２１[４],2020-11-05,2020-11-10,03,江戸川,一般,５２１５２　３６１３１５,2019-11-17,2019-11-22,03,江戸川,一般,５　　　４　２６１　４２,2019-05-30,2019-06-04,03,江戸川,一般,１１１４３　２６４　１１,2018-09-18,2018-09-23,03,江戸川,ＧⅢ,４　２２１４１　２　[４],5088,高憧 四季,2024-07-02,2024-07-07,03,江戸川,一般,４６１　Ｆ５５６６　２２,2022-01-23,2022-01-28,03,江戸川,一般,２　５４１　６３１３３５,2021-06-22,2021-06-26,03,江戸川,一般,４　２５１６６　５２,2021-03-17,2021-03-20,03,江戸川,一般,３６５６４　２６,,,,,,,4940,白石 有美,2025-03-24,2025-03-29,03,江戸川,一般,２４,2025-02-04,2025-02-09,03,江戸川,一般,５　１６４　４６５４２,2024-10-14,2024-10-19,03,江戸川,ＧⅢ,,2024-08-27,2024-09-01,03,江戸川,一般,２３６４５　２３１６２６,2023-07-27,2023-08-01,03,江戸川,一般,３　５２１３４　１４４６,4414,大澤 真菜,2023-09-24,2023-09-29,03,江戸川,一般,２６２　Ｆ６６　４６５,2023-05-30,2023-06-06,03,江戸川,ＧⅢ,６　３５５５５５４３１,2020-06-17,2020-06-22,03,江戸川,ＧⅢ,２２３４２　６４３６,2017-06-23,2017-06-28,03,江戸川,一般,５４２２４　１３２５３Ｆ,2016-09-18,2016-09-24,03,江戸川,一般,５４４　１１３６２６３６,5326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202509070308,2025-09-07,03,08R,4825,倉持 莉々,2025-02-04,2025-02-09,03,江戸川,一般,１２２　５５３２１　１５,2023-02-10,2023-02-15,03,江戸川,ＧⅠ,４　４　４４３　１２６,2022-05-11,2022-05-16,03,江戸川,一般,４　５２３１１　２　[３],2022-01-23,2022-01-28,03,江戸川,一般,４　１３２　１３１　２１,2020-01-15,2020-01-20,03,江戸川,ＧⅢ,４１１　３４１４５,4804,高田 ひかる,2019-05-30,2019-06-04,03,江戸川,一般,３１２　４２２１６　３２,2015-11-01,2015-11-06,03,江戸川,一般,４６５　４５３４５３５,,,,,,,,,,,,,,,,,,,5317,長尾 萌加,2025-02-04,2025-02-09,03,江戸川,一般,４　３６４　５６Ｆ６６,,,,,,,,,,,,,,,,,,,,,,,,,5113,黒明 花夢,2024-10-14,2024-10-19,03,江戸川,ＧⅢ,５　５６３,2023-09-24,2023-09-29,03,江戸川,一般,５　５４１　３３５　３１,2021-06-06,2021-06-11,03,江戸川,ＧⅢ,６　５６６６６　４６１６,,,,,,,,,,,,,5192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5306,河内 悠利杏,2025-02-04,2025-02-09,03,江戸川,一般,６　５６６　６４３６６,,,,,,,,,,,,,,,,,,,,,,,,
202509070309,2025-09-07,03,09R,4738,清埜 翔子,2024-12-15,2024-12-20,03,江戸川,一般,３　５３５　３６２　１,2024-07-02,2024-07-07,03,江戸川,一般,２２１　１３２　２１[３],2023-10-07,2023-10-09,03,江戸川,一般,１　１６４４,2023-09-24,2023-09-29,03,江戸川,一般,１２１　２１１１３１[１],2023-05-30,2023-06-06,03,江戸川,ＧⅢ,１４２２２　２１１　[２],4773,中川 りな,2024-10-14,2024-10-19,03,江戸川,ＧⅢ,４　２２３１,2024-07-02,2024-07-07,03,江戸川,一般,５２６　５５３　１４４４,2022-09-05,2022-09-10,03,江戸川,ＧⅢ,５６２　５３１６２２３５,2021-05-08,2021-05-13,03,江戸川,一般,２１３　２１１２４２[１],2018-09-18,2018-09-23,03,江戸川,ＧⅢ,１　４６１　１２転　３１,4947,間庭 菜摘,2022-05-11,2022-05-16,03,江戸川,一般,４４５　５４１４１４１,2021-06-06,2021-06-11,03,江戸川,ＧⅢ,３６３　１６５５４４Ｆ,,,,,,,,,,,,,,,,,,,4791,黒澤 めぐみ,2025-06-05,2025-06-10,03,江戸川,一般,１　　　１　２　３転,2025-02-04,2025-02-09,03,江戸川,一般,４　２２１　２２３１[３],2024-10-14,2024-10-19,03,江戸川,ＧⅢ,４　２１２,2023-11-30,2023-12-05,03,江戸川,一般,２５６　３５３　４２２３,2023-09-24,2023-09-29,03,江戸川,一般,４４４　１２４　３１２落,4400,加藤 奈月,2022-01-23,2022-01-28,03,江戸川,一般,４　６２４　１１３５３４,2018-06-26,2018-07-02,03,江戸川,一般,６　３６,2017-10-09,2017-10-14,03,江戸川,ＧⅢ,６　３５４４４　６３５,2017-07-18,2017-07-23,03,江戸川,一般,６５５　２５４　４６４４,2013-06-19,2013-06-25,03,江戸川,一般,６６５　４１１５３　５５,5250,嶋田 有里,2025-02-04,2025-02-09,03,江戸川,一般,５４３　６６４転Ｆ　４６,2024-08-27,2024-09-01,03,江戸川,一般,　　３５２　５６５３５,2023-11-30,2023-12-05,03,江戸川,一般,２４６　５５６　６　４６,,,,,,,,,,,,
